Date,Open,High,Low,Close
2024-10-03,2642.80,2657.10,2640.00,2657.10
2024-10-04,2656.00,2667.00,2639.00,2645.80
2024-10-07,2648.70,2657.40,2639.00,2644.80
2024-10-08,2639.00,2639.00,2609.30,2615.00
2024-10-09,2603.00,2607.70,2603.00,2606.00
2024-10-10,2602.50,2628.30,2602.50,2620.60
2024-10-11,2638.30,2658.10,2638.20,2657.60
2024-10-14,2655.00,2655.30,2647.80,2647.80
2024-10-15,2661.40,2661.40,2661.40,2661.40
2024-10-16,2674.00,2674.00,2674.00,2674.00
2024-10-17,2677.40,2691.70,2677.20,2691.00
2024-10-18,2713.70,2719.60,2713.70,2713.70
2024-10-21,2721.90,2738.40,2719.50,2723.10
2024-10-22,2731.70,2746.00,2728.60,2744.20
2024-10-23,2742.50,2742.50,2714.20,2714.40
2024-10-24,2729.00,2736.10,2729.00,2734.90
2024-10-25,2725.50,2742.40,2725.50,2740.90
2024-10-28,2736.10,2742.90,2729.50,2742.90
2024-10-29,2768.40,2768.40,2768.40,2768.40
2024-10-30,2774.60,2789.00,2774.60,2788.50
2024-10-31,2787.40,2787.50,2733.50,2738.30
2024-11-01,2745.50,2756.00,2734.20,2738.60
2024-11-04,2736.50,2737.10,2736.10,2736.10
2024-11-05,2743.00,2743.90,2740.30,2740.30
2024-11-06,2734.50,2734.50,2659.40,2667.60
2024-11-07,2662.50,2699.10,2662.50,2698.40
2024-11-08,2688.50,2694.60,2682.90,2687.50
2024-11-11,2671.70,2671.70,2611.20,2611.20
2024-11-12,2605.50,2605.50,2592.80,2600.00
2024-11-13,2611.10,2611.80,2580.80,2580.80
2024-11-14,2555.10,2576.20,2554.20,2568.20
2024-11-15,2565.70,2565.70,2565.70,2565.70
2024-11-18,2591.70,2610.70,2589.40,2610.60
2024-11-19,2621.90,2627.70,2619.30,2627.10
2024-11-20,2638.50,2648.20,2638.50,2648.20
2024-11-21,2659.30,2672.10,2655.70,2672.10
2024-11-22,2687.50,2710.50,2685.60,2709.90
2024-11-25,2689.40,2689.40,2616.80,2616.80
2024-11-26,2625.60,2625.60,2620.30,2620.30
2024-11-27,2633.50,2657.90,2627.20,2639.90
2024-11-29,2636.40,2664.30,2620.70,2657.00
2024-12-02,2649.00,2649.80,2621.70,2634.90
2024-12-03,2639.00,2654.70,2636.00,2644.70
2024-12-04,2639.20,2658.30,2637.00,2653.80
2024-12-05,2652.40,2655.00,2625.70,2626.60
2024-12-06,2620.20,2643.10,2617.50,2638.60
2024-12-09,2632.10,2677.10,2630.80,2664.90
2024-12-10,2662.30,2698.20,2661.00,2697.60
2024-12-11,2701.80,2733.80,2693.10,2733.80
2024-12-12,2725.10,2725.10,2677.40,2687.50
2024-12-13,2688.20,2689.30,2647.90,2656.00
2024-12-16,2658.30,2663.30,2651.00,2651.40
2024-12-17,2651.80,2652.30,2632.50,2644.40
2024-12-18,2644.30,2647.10,2590.20,2636.50
2024-12-19,2582.10,2610.30,2582.10,2592.20
2024-12-20,2605.30,2631.60,2604.90,2628.70
2024-12-23,2620.00,2627.70,2611.10,2612.30
2024-12-24,2613.00,2620.00,2609.50,2620.00
2024-12-26,2628.50,2638.80,2627.90,2638.80
2024-12-27,2617.70,2617.70,2616.40,2617.20
2024-12-30,2620.70,2626.90,2597.00,2606.10
2024-12-31,2608.40,2629.20,2604.90,2629.20
2025-01-02,2633.00,2663.10,2633.00,2658.90
2025-01-03,2658.70,2658.70,2641.80,2645.00
2025-01-06,2645.50,2647.00,2617.30,2638.40
2025-01-07,2653.40,2657.50,2653.00,2656.70
2025-01-08,2655.50,2676.90,2653.50,2664.50
2025-01-09,2669.70,2686.30,2667.90,2683.80
2025-01-10,2686.10,2720.10,2683.70,2708.50
2025-01-13,2711.10,2711.20,2673.50,2673.50
2025-01-14,2673.60,2688.30,2670.80,2677.50
2025-01-15,2690.80,2712.50,2690.80,2712.50
2025-01-16,2731.70,2749.80,2731.70,2746.40
2025-01-17,2736.00,2751.60,2725.50,2744.30
2025-01-20,2746.00,2746.90,2724.80,2730.30
2025-01-21,2746.00,2755.00,2724.80,2755.00
2025-01-22,2754.50,2768.80,2753.50,2767.60
2025-01-23,2760.00,2765.00,2745.40,2763.10
2025-01-24,2759.80,2792.00,2759.80,2777.30
2025-01-27,2761.10,2762.20,2737.50,2737.50
2025-01-28,2738.00,2766.80,2738.00,2766.80
2025-01-29,2769.10,2769.10,2769.10,2769.10
2025-01-30,2772.50,2829.50,2770.00,2823.00
2025-01-31,2829.00,2838.00,2804.00,2812.50
